@@,name,position
->,Maja Zalaznik->Simona Kustec,"Minister of Education, Science and Sport"
->,Julijana Bizjak Mlakar->Vasko Simoniti,Minister of Culture
->,Janez Janša,Prime Minister of Slovenia->Prime Minister
->,Aleksandra Pivec->Jože Podgoršek,"Minister of Agriculture, Forestry and Food"
---,Mateja Vraničar Erman,Slovenian finance minister
---,Dorijan Marušič,Minister of Health of Slovenia
+++,Zvonko Černač,Minister without Portfolio for Development and EU Cohesion Policy
+++,Zdravko Počivalšek,Deputy Prime Minister and Minister of Economic Development and Technology
+++,Matej Tonin,Deputy Prime Minister and Minister of Defence
+++,Mark Boris Andrijanič,Minister without Portfolio for Digital Transformation
+++,Marjan Dikaučič,Minister of Justice
+++,Jernej Vrtovec,Minister of Infrastructure
+++,Janez Poklukar,Minister of Health
+++,Janez Cigler Kralj,"Minister of Labour, Family, Social Affairs and Equal Opportunities"
+++,Helena Jaklitsch,"Minister without Portfolio for relations between the Republic of Slovenia and the autochthonous Slovene national community living in neighbouring countries, as well as between the Republic of Slovenia and Slovenians living abroad"
+++,Boštjan Koritnik,Minister of Public Administration
+++,Anže Logar,Minister of Foreign Affairs
+++,Andrej Šircelj,Minister of Finance
+++,Andrej Vizjak,Minister of the Environment and Spatial Planning
+++,Aleš Hojs,Minister of the Interior
